sinai_lab,mover_lab,,,,,
UNMATCHED,Metanephrine & Normetanephrine,,,,,
UNMATCHED,Metanephrine,,,,,
UNMATCHED,Cystatin C,,,,,
UNMATCHED,OJ Ab,,,,,
UNMATCHED,JAK2 gene.p.Val617Phe mutant/normal,,,,,
UNMATCHED,"t(9;22)(q34.1;q11)(ABL1,BCR) fusion transcript",,,,,
UNMATCHED,Transitional cells,,,,,
UNMATCHED,Voltage-gated potassium channel Ab,,,,,
UNMATCHED,Triiodothyronine.free,,,,,
UNMATCHED,Lead,,,,,
UNMATCHED,Mercury,,,,,
UNMATCHED,F5 gene targeted mutation analysis,,,,,
UNMATCHED,Coagulation factor II circulating inhibitor,,,,,
UNMATCHED,Cryptococcus sp Ab,,,,,
UNMATCHED,Alpha tocopherol,,,,,
UNMATCHED,Normetanephrine.free,,,,,
UNMATCHED,F2 gene.c.20210G>A,,,,,
UNMATCHED,Thyrotropin receptor Ab,,,,,
UNMATCHED,Cancer Ag 125,,,,,
UNMATCHED,Path report.comments,,,,,
UNMATCHED,Vasopressin,,,,,
UNMATCHED,Phytonadione,,,,,
UNMATCHED,Proteinase 3 Ab,,,,,
UNMATCHED,Myeloperoxidase Ab,,,,,
UNMATCHED,Testosterone.free,,,,,
UNMATCHED,IgE,,,,,
UNMATCHED,Creatinine renal clearance,,,,,
UNMATCHED,Coagulation surface induced circulating inhibitor,,,,,
UNMATCHED,Mycophenolate glucuronide,,,,,
UNMATCHED,Alpha 1 antitrypsin,,,,,
UNMATCHED,Tryptase,,,,,
UNMATCHED,Latex Ab.IgE,,,,,
UNMATCHED,Renin,,,,,
UNMATCHED,Metanephrine.free,,,,,
UNMATCHED,Neutrophil cytoplasmic Ab.classic,,,,,
UNMATCHED,PHENobarbital,,,,,
UNMATCHED,Pyruvate,,,,,
UNMATCHED,Glucose CSF/Glucose plas,,,,,
UNMATCHED,Urate crystals,,,,,
UNMATCHED,Homocysteine,,,,,
UNMATCHED,Diagnostic impression,,,,,
UNMATCHED,Beta+gamma tocopherol,,,,,
UNMATCHED,Mycophenolate,,,,,
UNMATCHED,C peptide,,,,,
UNMATCHED,Immunoglobulin light chains.kappa,,,,,
UNMATCHED,Immunoglobulin light chains.lambda,,,,,
UNMATCHED,Islet cell 512 Ab,,,,,
UNMATCHED,Heparin.unfractionated,,,,,
UNMATCHED,CYP2C19 gene allele,,,,,
UNMATCHED,Hemoglobin D/Hemoglobin.total,,,,,
UNMATCHED,Epithelial cells.renal,,,,,
UNMATCHED,Hemoglobin A/Hemoglobin.total,,,,,
UNMATCHED,Hemoglobin C/Hemoglobin.total,,,,,
UNMATCHED,Hemoglobin S/Hemoglobin.total,,,,,
UNMATCHED,Pathologist interpretation,,,,,
UNMATCHED,Service comment,,,,,
UNMATCHED,Bartonella henselae Ab.IgG,,,,,
UNMATCHED,Hemoglobin A2/Hemoglobin.total,,,,,
UNMATCHED,Transferrin receptor.soluble,,,,,
UNMATCHED,HTLV I+II Ab band pattern,,,,,
UNMATCHED,Bartonella henselae Ab.IgM,,,,,
UNMATCHED,Hemoglobin H inclusion bodies,,,,,
UNMATCHED,Hepatitis B virus little e Ag,,,,,
UNMATCHED,Pyridoxine,,,,,
UNMATCHED,Retinol,,,,,
UNMATCHED,Retinyl palmitate,,,,,
UNMATCHED,Cannabinoids,,,,,
UNMATCHED,Blastomyces dermatitidis Ab,,,,,
UNMATCHED,Riboflavin,,,,,
UNMATCHED,Histoplasma capsulatum mycelial phase Ab,,,,,
UNMATCHED,Angiotensin converting enzyme,,,,,
UNMATCHED,Selenium,,,,,
UNMATCHED,IgG/Albumin,,,,,
UNMATCHED,Interleukin 2,,,,,
UNMATCHED,Protein fractions.oligoclonal bands,,,,,
UNMATCHED,IgG synthesis rate,,,,,
UNMATCHED,Histoplasma capsulatum yeast phase Ab,,,,,
UNMATCHED,Histoplasma capsulatum Ab,,,,,
UNMATCHED,IgG clearance/Albumin clearance,,,,,
UNMATCHED,Aspergillus fumigatus Ab.IgG,,,,,
UNMATCHED,Paraneoplastic Ab,,,,,
